Business_ID,Business_Age_Years,Industry,Region,Annual_Revenue_AUD,Annual_Profit_AUD,Total_Assets_AUD,Total_Liabilities_AUD,Owner_Credit_Score,Loan_Amount_AUD,Loan_Term_Months,Previous_Loans,Previous_Defaults,Industry_Growth_Rate,Debt_to_Asset_Ratio,Profit_Margin,Loan_to_Revenue_Ratio,Net_Worth,Revenue_per_Year_in_Business,Interest_Coverage_Ratio,Risk_Score,Defaulted,Business_Age_Category,Credit_Score_Category,Loan_Size_Category,Leverage_Category
BIZ1151,2,Education,NSW,81731,7211,68741,45175,673,36120,12,1,0,3.14,0.657,0.088,0.442,23566,27243.67,2.495,0.238,0,Startup,Good,Small,Medium
BIZ1152,1,Professional Services,NT,227696,8818,233388,196180,608,75398,36,3,0,7.73,0.841,0.039,0.331,37208,113848.0,1.462,0.359,0,Startup,Fair,Medium,Medium
BIZ1153,5,Agriculture,QLD,77977,4548,49951,43082,534,10776,36,2,0,-0.19,0.862,0.058,0.138,6869,12996.17,5.269,0.515,0,Established,Fair,Small,Medium
BIZ1154,25,Education,ACT,131964,9705,86783,60969,835,71518,48,5,0,-6.0,0.703,0.074,0.542,25814,5075.54,1.696,0.186,0,Mature,Excellent,Medium,Medium
BIZ1155,2,IT,TAS,280504,24357,169803,55196,844,59213,24,1,0,1.11,0.325,0.087,0.211,114607,93501.33,5.141,0.122,0,Startup,Excellent,Medium,Low
BIZ1156,7,Education,QLD,223253,22022,342685,268411,571,100937,24,2,1,-0.01,0.783,0.099,0.452,74274,27906.62,2.727,0.422,0,Established,Fair,Medium,Medium
BIZ1157,9,Construction,ACT,85552,8260,15000,2127,623,40975,60,0,0,-1.98,0.142,0.097,0.479,12873,8555.2,2.519,0.376,0,Mature,Good,Small,Low
BIZ1158,2,Professional Services,SA,89798,17781,61090,21075,827,52059,36,6,0,6.4,0.345,0.198,0.58,40015,29932.67,4.268,0.086,0,Startup,Excellent,Medium,Low
BIZ1159,8,IT,TAS,199286,30446,412292,162930,336,64604,24,1,0,-1.51,0.395,0.153,0.324,249362,22142.89,5.89,0.372,0,Established,Poor,Medium,Low
BIZ1160,3,Retail,ACT,505483,8472,564450,390887,849,196486,24,1,0,4.25,0.693,0.017,0.389,173563,126370.75,0.539,0.322,0,Established,Excellent,Medium,Medium
BIZ1161,7,IT,WA,112938,8515,197738,91384,589,26448,60,0,0,8.54,0.462,0.075,0.234,106354,14117.25,4.023,0.287,1,Established,Fair,Small,Low
BIZ1162,7,Construction,ACT,388459,37502,93844,24754,687,164317,24,4,0,-0.95,0.264,0.097,0.423,69090,48557.38,2.853,0.205,0,Established,Good,Medium,Low
BIZ1163,5,Agriculture,NSW,83367,1359,32391,15587,748,25415,36,3,0,1.81,0.481,0.016,0.305,16804,13894.5,0.668,0.24,0,Established,Good,Small,Low
BIZ1164,1,Professional Services,NT,192215,15427,214228,95582,627,55878,36,2,0,6.56,0.446,0.08,0.291,118646,96107.5,3.45,0.318,0,Startup,Good,Medium,Low
BIZ1165,11,Retail,SA,213375,21104,442937,318596,835,111063,48,0,0,1.25,0.719,0.099,0.521,124341,17781.25,2.375,0.227,1,Mature,Excellent,Medium,Medium
BIZ1166,3,Construction,ACT,74089,15754,30585,70940,430,5748,48,5,1,3.5,2.319,0.213,0.078,-40355,18522.25,34.185,1.0,1,Established,Poor,Small,High
BIZ1167,2,Construction,NT,58515,12303,37963,10407,558,31310,36,0,0,4.42,0.274,0.21,0.535,27556,19505.0,4.91,0.394,1,Startup,Fair,Small,Low
BIZ1168,1,Healthcare,VIC,220085,28592,229268,315196,669,114144,12,1,0,3.02,1.375,0.13,0.519,-85928,110042.5,3.131,0.429,1,Startup,Good,Medium,High
BIZ1169,6,Professional Services,VIC,68044,8367,23304,19223,789,22352,48,2,0,1.16,0.825,0.123,0.328,4081,9720.57,4.676,0.149,0,Established,Excellent,Small,Medium
BIZ1170,7,IT,NT,52783,8929,59098,45603,507,16870,36,2,1,0.16,0.772,0.169,0.32,13495,6597.88,6.611,0.547,1,Established,Fair,Small,Medium
BIZ1171,1,Manufacturing,NT,61158,17853,15000,11141,842,15227,60,4,0,-0.78,0.743,0.292,0.249,3859,30579.0,14.644,0.196,0,Startup,Excellent,Small,Medium
BIZ1172,5,Agriculture,NSW,67851,5316,74638,141088,596,40493,36,2,1,4.29,1.89,0.078,0.597,-66450,11308.5,1.641,0.791,1,Established,Fair,Small,High
BIZ1173,2,Manufacturing,WA,179805,26977,81030,11500,610,19984,36,3,1,0.53,0.142,0.15,0.111,69530,59935.0,16.864,0.387,0,Startup,Fair,Small,Low
BIZ1174,7,IT,SA,141567,17088,88607,73424,765,53033,12,2,0,6.09,0.829,0.121,0.375,15183,17695.88,4.027,0.129,0,Established,Excellent,Medium,Medium
BIZ1175,2,IT,QLD,162911,7736,197222,108258,431,69224,48,1,0,7.27,0.549,0.047,0.425,88964,54303.67,1.397,0.434,1,Startup,Poor,Medium,Medium
BIZ1176,8,Professional Services,NSW,132583,177,141962,119167,701,74761,36,1,0,-0.97,0.839,0.001,0.564,22795,14731.44,0.03,0.282,0,Established,Good,Medium,Medium
BIZ1177,3,IT,WA,65141,6123,53078,117418,444,31209,36,1,0,4.71,2.212,0.094,0.479,-64340,16285.25,2.451,0.693,1,Established,Poor,Small,High
BIZ1178,17,Healthcare,NT,160808,5699,235482,113808,526,64985,24,5,0,8.68,0.483,0.035,0.404,121674,8933.78,1.096,0.408,0,Mature,Fair,Medium,Low
BIZ1179,1,Retail,QLD,225870,10366,66676,56535,717,25804,24,1,0,-0.07,0.848,0.046,0.114,10141,112935.0,5.019,0.42,0,Startup,Good,Small,Medium
BIZ1180,3,IT,NT,148620,22075,137557,92549,686,37980,24,3,0,6.1,0.673,0.149,0.256,45008,37155.0,7.263,0.255,0,Established,Good,Small,Medium
BIZ1181,1,Manufacturing,NT,135233,31755,68916,8175,737,17088,36,3,0,4.19,0.119,0.235,0.126,60741,67616.5,23.212,0.154,0,Startup,Good,Small,Low
BIZ1182,16,IT,VIC,57702,4834,81950,31308,738,30851,48,1,0,5.38,0.382,0.084,0.535,50642,3394.24,1.958,0.166,0,Mature,Good,Small,Low
BIZ1183,13,Healthcare,VIC,114493,14188,141564,71004,561,52929,36,2,0,0.23,0.502,0.124,0.462,70560,8178.07,3.35,0.269,0,Mature,Fair,Medium,Medium
BIZ1184,2,Education,QLD,55594,7591,70251,89737,699,25942,48,3,0,8.22,1.277,0.137,0.467,-19486,18531.33,3.656,0.311,0,Startup,Good,Small,High
BIZ1185,7,Education,NSW,97069,20430,213289,115195,828,39676,12,0,0,0.49,0.54,0.21,0.409,98094,12133.62,6.434,0.095,0,Established,Excellent,Small,Medium
BIZ1186,11,Construction,VIC,31313,5938,50392,68999,828,10298,36,0,0,4.42,1.369,0.19,0.329,-18607,2609.42,7.199,0.426,0,Mature,Excellent,Small,High
BIZ1187,5,Agriculture,SA,31483,1301,23452,14315,336,5000,36,2,0,2.31,0.61,0.041,0.159,9137,5247.17,3.244,0.533,0,Established,Poor,Small,Medium
BIZ1188,5,Hospitality,NT,86358,17929,70650,30956,488,19977,60,2,0,4.11,0.438,0.208,0.231,39694,14393.0,11.212,0.481,0,Established,Poor,Small,Low
BIZ1189,2,Retail,TAS,67244,9057,78956,17269,808,8425,48,0,0,-0.45,0.219,0.135,0.125,61687,22414.67,13.418,0.128,0,Startup,Excellent,Small,Low
BIZ1190,1,Transport,ACT,106377,1480,94508,22843,716,47731,36,1,0,-1.18,0.242,0.014,0.449,71665,53188.5,0.387,0.265,0,Startup,Good,Small,Low
BIZ1191,14,Construction,QLD,89828,10514,112280,51916,633,12407,48,0,0,3.36,0.462,0.117,0.138,60364,5988.53,10.582,0.343,1,Mature,Good,Small,Low
BIZ1192,14,Agriculture,QLD,100824,10007,21653,9968,828,43975,24,5,0,1.4,0.46,0.099,0.436,11685,6721.6,2.844,0.093,0,Mature,Excellent,Small,Low
BIZ1193,7,Education,VIC,151149,22957,382507,290270,555,65105,36,2,1,1.3,0.759,0.152,0.431,92237,18893.62,4.407,0.455,1,Established,Fair,Medium,Medium
BIZ1194,3,Manufacturing,NSW,71375,10591,60616,52552,730,21599,12,1,0,4.13,0.867,0.148,0.303,8064,17843.75,6.126,0.209,1,Established,Good,Small,Medium
BIZ1195,3,Transport,NT,84659,21295,26184,3952,756,10529,36,7,0,-1.98,0.151,0.252,0.124,22232,21164.75,25.251,0.159,0,Established,Excellent,Small,Low
BIZ1196,8,Agriculture,SA,273351,73770,129344,55551,685,60995,24,1,0,6.12,0.429,0.27,0.223,73793,30372.33,15.115,0.134,0,Established,Good,Medium,Low
BIZ1197,14,Agriculture,NSW,98929,34173,22574,5958,613,22363,48,1,0,2.86,0.264,0.345,0.226,16616,6595.27,19.091,0.29,0,Mature,Fair,Small,Low
BIZ1198,14,Construction,WA,87077,17915,37064,22249,308,37896,36,3,1,4.79,0.6,0.206,0.435,14815,5805.13,5.907,0.788,1,Mature,Poor,Small,Medium
BIZ1199,10,Transport,WA,104585,7898,78621,22714,524,11771,48,3,0,4.08,0.289,0.076,0.113,55907,9507.73,8.378,0.425,0,Mature,Fair,Small,Low
BIZ1200,7,Professional Services,TAS,88172,2735,179131,57596,823,44613,36,3,0,4.25,0.322,0.031,0.506,121535,11021.5,0.766,0.137,0,Established,Excellent,Small,Low
BIZ1201,1,Hospitality,VIC,60072,18300,62925,93219,513,28146,12,1,1,-1.1,1.481,0.305,0.469,-30294,30036.0,8.124,1.0,1,Startup,Fair,Small,High
BIZ1202,2,Professional Services,VIC,49088,4533,46216,71294,370,7484,48,0,0,5.99,1.543,0.092,0.152,-25078,16362.67,7.559,0.629,1,Startup,Poor,Small,High
BIZ1203,14,Transport,VIC,57849,5877,23969,3116,815,25774,48,2,0,3.32,0.13,0.102,0.446,20853,3856.6,2.849,0.09,0,Mature,Excellent,Small,Low
BIZ1204,6,Professional Services,TAS,181869,6776,90794,47015,547,75963,60,2,2,1.08,0.518,0.037,0.418,43779,25981.29,1.115,0.48,0,Established,Fair,Medium,Medium
BIZ1205,1,Healthcare,WA,63517,17562,33219,13987,418,29310,36,2,2,2.12,0.421,0.276,0.461,19232,31758.5,7.487,0.578,0,Startup,Poor,Small,Low
BIZ1206,1,Education,NSW,88570,12839,47470,36622,503,13631,48,3,1,3.59,0.771,0.145,0.154,10848,44285.0,11.763,0.583,1,Startup,Fair,Small,Medium
BIZ1207,7,Healthcare,TAS,161218,36048,106893,73662,578,22034,48,1,0,3.04,0.689,0.224,0.137,33231,20152.25,20.439,0.299,0,Established,Fair,Small,Medium
BIZ1208,1,IT,TAS,81237,5704,56360,19745,724,14628,24,1,0,4.29,0.35,0.07,0.18,36615,40618.5,4.87,0.194,0,Startup,Good,Small,Low
BIZ1209,2,Professional Services,NSW,153791,33836,102734,65181,772,38636,24,1,0,7.46,0.634,0.22,0.251,37553,51263.67,10.944,0.135,0,Startup,Excellent,Small,Medium
BIZ1210,5,IT,VIC,33571,1366,18372,3703,765,16332,12,2,0,-0.61,0.202,0.041,0.486,14669,5595.17,1.045,0.108,0,Established,Excellent,Small,Low
BIZ1211,8,Manufacturing,SA,89970,1363,79878,35457,704,41013,36,2,0,4.75,0.444,0.015,0.456,44421,9996.67,0.415,0.242,0,Established,Good,Small,Low
BIZ1212,7,Retail,NSW,104320,13988,70726,26881,626,58314,36,1,0,2.18,0.38,0.134,0.559,43845,13040.0,2.998,0.383,0,Established,Good,Medium,Low
BIZ1213,2,Manufacturing,WA,100327,5598,31534,22262,643,8251,60,1,0,5.93,0.706,0.056,0.082,9272,33442.33,8.468,0.386,0,Startup,Good,Small,Medium
BIZ1214,8,Transport,QLD,31037,3459,25940,8918,601,5000,36,1,0,7.38,0.344,0.111,0.161,17022,3448.56,8.626,0.243,0,Established,Fair,Small,Low
BIZ1215,2,Agriculture,NT,229160,33699,174925,23864,379,99576,48,0,0,3.09,0.136,0.147,0.435,151061,76386.67,4.23,0.447,0,Startup,Poor,Medium,Low
BIZ1216,3,Education,QLD,54270,3144,17222,4986,827,11049,36,0,0,4.36,0.289,0.058,0.204,12236,13567.5,3.553,0.12,0,Established,Excellent,Small,Low
BIZ1217,9,Professional Services,ACT,124807,7254,71663,12718,540,29172,24,3,2,6.15,0.177,0.058,0.234,58945,12480.7,3.107,0.529,1,Mature,Fair,Small,Low
BIZ1218,7,Construction,ACT,99267,11158,116286,97051,615,34817,12,1,0,5.49,0.835,0.112,0.351,19235,12408.38,4.005,0.49,0,Established,Fair,Small,Medium
BIZ1219,12,Retail,TAS,199306,23419,82514,30078,708,21191,36,2,0,6.27,0.365,0.118,0.106,52436,15331.23,13.806,0.208,0,Mature,Good,Small,Low
BIZ1220,7,Hospitality,NT,456453,46560,177359,82383,745,184170,48,3,0,1.61,0.464,0.102,0.403,94976,57056.62,3.16,0.188,0,Established,Good,Medium,Low
BIZ1221,6,Hospitality,QLD,40004,5865,26951,17545,453,9154,60,2,1,0.95,0.651,0.147,0.229,9406,5714.86,7.998,0.746,1,Established,Poor,Small,Medium
BIZ1222,1,Hospitality,SA,62677,9231,74571,60810,470,24945,36,2,0,-0.91,0.815,0.147,0.398,13761,31338.5,4.623,0.631,1,Startup,Poor,Small,Medium
BIZ1223,3,Professional Services,VIC,112686,16519,273363,542553,594,57323,48,3,1,1.91,1.985,0.147,0.509,-269190,28171.5,3.601,0.636,1,Established,Fair,Medium,High
BIZ1224,2,Hospitality,WA,45535,2288,55359,31379,749,6562,36,0,0,2.25,0.567,0.05,0.144,23980,15178.33,4.35,0.252,0,Startup,Good,Small,Medium
BIZ1225,2,Healthcare,ACT,170676,37675,267913,106985,581,95916,36,1,1,2.07,0.399,0.221,0.562,160928,56892.0,4.909,0.396,0,Startup,Fair,Medium,Low
BIZ1226,22,Retail,SA,178146,4518,179580,117496,688,60904,36,1,0,3.98,0.654,0.025,0.342,62084,7745.48,0.927,0.33,0,Mature,Good,Medium,Medium
BIZ1227,3,Healthcare,WA,146036,11599,79263,68279,665,81431,12,2,0,4.05,0.861,0.079,0.558,10984,36509.0,1.78,0.23,0,Established,Good,Medium,Medium
BIZ1228,14,Agriculture,WA,116495,5609,141016,56512,786,19134,12,5,0,2.3,0.401,0.048,0.164,84504,7766.33,3.662,0.175,0,Mature,Excellent,Small,Low
BIZ1229,6,Retail,VIC,257505,11437,200271,308294,532,98498,12,2,0,3.54,1.539,0.044,0.383,-108023,36786.43,1.451,0.865,1,Established,Fair,Medium,High
BIZ1230,10,Healthcare,NT,43961,745,45128,10799,439,11963,36,1,0,4.98,0.239,0.017,0.272,34329,3996.45,0.778,0.472,0,Mature,Poor,Small,Low
BIZ1231,5,Retail,TAS,103330,3068,47957,114241,694,49166,48,2,0,0.1,2.382,0.03,0.476,-66284,17221.67,0.78,0.667,1,Established,Good,Small,High
BIZ1232,6,Agriculture,QLD,58855,4026,63748,130301,663,22556,24,4,0,5.3,2.044,0.068,0.383,-66553,8407.86,2.23,0.503,0,Established,Good,Small,High
BIZ1233,5,IT,VIC,184046,30099,140173,88105,350,59259,36,2,2,0.67,0.629,0.164,0.322,52068,30674.33,6.348,0.631,1,Established,Poor,Medium,Medium
BIZ1234,2,Professional Services,SA,30000,3129,28217,38826,662,16564,24,2,0,6.82,1.376,0.104,0.552,-10609,10000.0,2.36,0.404,0,Startup,Good,Small,High
BIZ1235,8,Professional Services,TAS,96794,3838,75304,65297,455,24916,48,2,1,3.0,0.867,0.04,0.257,10007,10754.89,1.925,0.549,1,Established,Poor,Small,Medium
BIZ1236,2,Hospitality,SA,124824,15143,86537,14634,398,21343,48,1,1,2.69,0.169,0.121,0.171,71903,41608.0,8.864,0.71,1,Startup,Poor,Small,Low
BIZ1237,1,Manufacturing,TAS,50856,2596,55690,40136,695,19551,48,1,0,-2.87,0.721,0.051,0.384,15554,25428.0,1.659,0.285,0,Startup,Good,Small,Medium
BIZ1238,7,Hospitality,NT,63682,6281,40863,8838,601,25040,36,0,0,4.47,0.216,0.099,0.393,32025,7960.25,3.134,0.364,0,Established,Fair,Small,Low
BIZ1239,2,Transport,ACT,99784,8795,31493,10893,844,29087,24,1,0,2.79,0.346,0.088,0.291,20600,33261.33,3.778,0.097,0,Startup,Excellent,Small,Low
BIZ1240,17,Healthcare,SA,192637,17450,51235,26640,737,61188,48,1,0,3.02,0.52,0.091,0.318,24595,10702.06,3.564,0.118,0,Mature,Good,Medium,Medium
BIZ1241,19,Retail,VIC,47905,4052,43810,21244,682,27677,24,0,0,2.22,0.485,0.085,0.578,22566,2395.25,1.829,0.168,0,Mature,Good,Small,Low
BIZ1242,15,Manufacturing,TAS,54126,10519,33885,12247,694,24517,24,3,1,4.38,0.361,0.194,0.453,21638,3382.88,5.36,0.275,0,Mature,Good,Small,Low
BIZ1243,3,Agriculture,TAS,217056,20698,62972,50643,683,24056,24,2,0,4.98,0.804,0.095,0.111,12329,54264.0,10.75,0.255,0,Established,Good,Small,Medium
BIZ1244,1,Transport,WA,81545,2697,71170,170029,355,13591,36,5,0,3.95,2.389,0.033,0.167,-98859,40772.5,2.478,0.845,1,Startup,Poor,Small,High
BIZ1245,16,Agriculture,WA,57280,3483,44328,8126,813,33598,36,1,0,6.45,0.183,0.061,0.587,36202,3369.41,1.295,0.105,0,Mature,Excellent,Small,Low
BIZ1246,4,Professional Services,NSW,164403,19887,99738,30906,837,73908,36,1,0,0.34,0.31,0.121,0.45,68832,32880.6,3.363,0.088,0,Established,Excellent,Medium,Low
BIZ1247,21,Professional Services,SA,70140,14593,66591,21444,551,38806,36,1,0,0.72,0.322,0.208,0.553,45147,3188.18,4.699,0.26,0,Mature,Fair,Small,Low
BIZ1248,20,Hospitality,WA,202641,3385,365217,315657,455,43998,24,3,1,3.72,0.864,0.017,0.217,49560,9649.57,0.961,0.78,1,Mature,Poor,Small,Medium
BIZ1249,12,Healthcare,NSW,62031,3301,109770,20631,338,28411,60,2,1,4.49,0.188,0.053,0.458,89139,4771.62,1.452,0.513,1,Mature,Poor,Small,Low
BIZ1250,3,Manufacturing,ACT,88281,7465,78789,67275,632,39082,36,0,0,4.05,0.854,0.085,0.443,11514,22070.25,2.387,0.372,0,Established,Good,Small,Medium
BIZ1251,3,Education,ACT,191277,4061,148843,36557,671,40565,36,2,1,-1.36,0.246,0.021,0.212,112286,47819.25,1.251,0.303,0,Established,Good,Small,Low
BIZ1252,12,Transport,WA,84256,8071,75830,36684,795,29738,36,2,0,-1.11,0.484,0.096,0.353,39146,6481.23,3.391,0.124,0,Mature,Excellent,Small,Low
BIZ1253,3,Transport,SA,167583,17643,165154,353178,751,66208,24,1,0,1.95,2.138,0.105,0.395,-188024,41895.75,3.33,0.433,0,Established,Excellent,Medium,High
BIZ1254,2,Hospitality,TAS,94288,11985,65718,26421,629,29665,24,0,0,-2.87,0.402,0.127,0.315,39297,31429.33,5.048,0.415,1,Startup,Good,Small,Low
BIZ1255,5,Professional Services,QLD,395214,61738,359298,248878,665,199562,36,0,0,3.28,0.693,0.156,0.505,110420,65869.0,3.867,0.241,0,Established,Good,Medium,Medium
BIZ1256,17,Hospitality,NT,296008,27360,94274,19440,726,150395,24,2,0,2.28,0.206,0.092,0.508,74834,16444.89,2.274,0.146,0,Mature,Good,Medium,Low
BIZ1257,8,Retail,SA,38961,10091,33494,29959,704,20175,24,2,0,-0.24,0.894,0.259,0.518,3535,4329.0,6.248,0.312,0,Established,Good,Small,Medium
BIZ1258,6,Manufacturing,NT,142282,6152,155073,128470,657,69986,48,4,0,0.84,0.828,0.043,0.492,26603,20326.0,1.099,0.298,0,Established,Good,Medium,Medium
BIZ1259,1,Healthcare,VIC,55743,9977,34016,9867,729,17751,36,2,0,2.83,0.29,0.179,0.318,24149,27871.5,7.021,0.188,0,Startup,Good,Small,Low
BIZ1260,6,IT,ACT,112877,14324,87270,41719,684,29324,36,1,0,-1.98,0.478,0.127,0.26,45551,16125.29,6.103,0.142,0,Established,Good,Small,Low
BIZ1261,25,Construction,WA,103555,2260,43519,8085,684,52528,36,3,0,0.69,0.186,0.022,0.507,35434,3982.88,0.538,0.254,0,Mature,Good,Medium,Low
BIZ1262,1,Construction,WA,47156,1920,18233,9847,746,15071,60,2,1,1.71,0.54,0.041,0.32,8386,23578.0,1.591,0.399,0,Startup,Good,Small,Medium
BIZ1263,5,Hospitality,NT,207096,33130,192418,123334,743,38417,24,0,0,1.6,0.641,0.16,0.186,69084,34516.0,10.776,0.285,0,Established,Good,Small,Medium
BIZ1264,13,Retail,TAS,113813,18865,60148,39769,666,37448,48,1,0,1.69,0.661,0.166,0.329,20379,8129.5,6.295,0.289,0,Mature,Good,Small,Medium
BIZ1265,9,Manufacturing,NT,80880,4023,22802,11551,638,10354,36,0,0,6.58,0.507,0.05,0.128,11251,8088.0,4.851,0.269,0,Mature,Good,Small,Medium
BIZ1266,8,Education,VIC,72643,3362,30523,11347,662,31265,24,3,1,5.35,0.372,0.046,0.43,19176,8071.44,1.344,0.264,0,Established,Good,Small,Low
BIZ1267,8,Construction,TAS,108862,6052,49911,23691,623,25556,24,3,0,0.57,0.475,0.056,0.235,26220,12095.78,2.959,0.41,0,Established,Good,Small,Low
BIZ1268,3,Manufacturing,VIC,131340,18198,171149,73727,528,25396,36,3,1,-0.61,0.431,0.139,0.193,97422,32835.0,8.953,0.438,0,Established,Fair,Small,Low
BIZ1269,3,Healthcare,QLD,90446,6062,82452,36095,374,52104,36,4,2,1.26,0.438,0.067,0.576,46357,22611.5,1.454,0.572,1,Established,Poor,Medium,Low
BIZ1270,10,Agriculture,ACT,30000,5933,15000,4914,742,14318,24,0,0,6.18,0.328,0.198,0.477,10086,2727.27,5.175,0.147,0,Mature,Good,Small,Low
BIZ1271,10,Retail,WA,99889,6845,57477,49193,733,48235,36,0,0,-3.88,0.856,0.069,0.483,8284,9080.82,1.773,0.327,0,Mature,Good,Small,Medium
BIZ1272,13,Professional Services,WA,35988,10352,64743,48134,820,14144,36,1,0,2.75,0.743,0.288,0.393,16609,2570.57,9.141,0.143,0,Mature,Excellent,Small,Medium
BIZ1273,15,Manufacturing,QLD,85253,6619,122398,263985,547,43610,36,2,0,1.58,2.157,0.078,0.512,-141587,5328.31,1.897,0.65,1,Mature,Fair,Small,High
BIZ1274,5,Healthcare,NSW,36930,3572,15458,4877,617,17266,48,2,1,6.1,0.315,0.097,0.468,10581,6155.0,2.584,0.362,1,Established,Fair,Small,Low
BIZ1275,5,Education,ACT,36623,3443,60267,39097,529,13892,48,2,1,5.44,0.649,0.094,0.379,21170,6103.83,3.095,0.519,0,Established,Fair,Small,Medium
BIZ1276,10,IT,TAS,234353,15572,182810,408013,496,135600,36,2,1,-1.9,2.232,0.066,0.579,-225203,21304.82,1.435,0.747,1,Mature,Poor,Medium,High
BIZ1277,7,Professional Services,QLD,78899,10245,104369,88018,799,12259,60,0,0,6.09,0.843,0.13,0.155,16351,9862.38,10.436,0.181,0,Established,Excellent,Small,Medium
BIZ1278,8,IT,TAS,74782,15809,55511,6616,513,42540,12,2,1,-4.5,0.119,0.211,0.569,48895,8309.11,4.644,0.418,1,Established,Fair,Small,Low
BIZ1279,10,Education,NT,138381,9708,230790,104506,732,37472,12,0,0,4.34,0.453,0.07,0.271,126284,12580.09,3.237,0.19,0,Mature,Good,Small,Low
BIZ1280,14,Healthcare,SA,76159,6010,31095,8636,703,25941,36,1,0,4.61,0.278,0.079,0.341,22459,5077.27,2.895,0.135,0,Mature,Good,Small,Low
BIZ1281,3,Construction,WA,430483,15794,302365,101466,649,50584,36,1,0,7.56,0.336,0.037,0.118,200899,107620.75,3.902,0.448,1,Established,Good,Medium,Low
BIZ1282,3,IT,TAS,81543,12442,138518,88947,762,28300,36,0,0,3.18,0.642,0.153,0.347,49571,20385.75,5.493,0.188,0,Established,Excellent,Small,Medium
BIZ1283,1,Professional Services,VIC,127463,9806,24835,2517,701,49221,36,1,1,0.51,0.101,0.077,0.386,22318,63731.5,2.49,0.276,0,Startup,Good,Small,Low
BIZ1284,6,Hospitality,TAS,194786,21215,155130,30733,503,116625,24,2,1,-0.53,0.198,0.109,0.599,124397,27826.57,2.274,0.648,1,Established,Fair,Medium,Low
BIZ1285,1,Transport,SA,303027,13987,195917,151883,801,177681,24,2,0,6.88,0.775,0.046,0.586,44034,151513.5,0.984,0.218,0,Startup,Excellent,Medium,Medium
BIZ1286,4,Manufacturing,ACT,58723,2877,72503,36865,806,34148,48,1,0,7.59,0.508,0.049,0.581,35638,11744.6,1.053,0.131,0,Established,Excellent,Small,Medium
BIZ1287,5,Construction,WA,73675,1328,114618,72746,573,17800,48,3,0,1.15,0.635,0.018,0.242,41872,12279.17,0.932,0.535,1,Established,Fair,Small,Medium
BIZ1288,3,IT,NT,240918,21029,305706,170519,475,143393,36,0,0,2.57,0.558,0.087,0.595,135187,60229.5,1.833,0.355,0,Established,Poor,Medium,Medium
BIZ1289,6,Agriculture,QLD,174040,10281,164660,29941,321,52301,36,3,1,6.59,0.182,0.059,0.301,134719,24862.86,2.457,0.604,1,Established,Poor,Medium,Low
BIZ1290,1,Manufacturing,NT,209530,6285,175775,30339,598,108643,36,0,0,4.81,0.173,0.03,0.519,145436,104765.0,0.723,0.369,0,Startup,Fair,Medium,Low
BIZ1291,1,Hospitality,SA,37869,6441,25241,2665,807,6398,24,2,0,1.94,0.106,0.17,0.169,22576,18934.5,12.559,0.145,0,Startup,Excellent,Small,Low
BIZ1292,11,Education,WA,291734,31626,270920,159279,675,95749,36,0,0,0.22,0.588,0.108,0.328,111641,24311.17,4.128,0.147,0,Mature,Good,Medium,Medium
BIZ1293,3,Transport,TAS,57931,3280,113868,180213,536,33675,36,3,0,-0.02,1.583,0.057,0.581,-66345,14482.75,1.217,0.728,1,Established,Fair,Small,High
BIZ1294,1,Healthcare,ACT,112939,13181,56178,19418,758,64473,36,1,0,5.36,0.346,0.117,0.571,36760,56469.5,2.555,0.081,0,Startup,Excellent,Medium,Low
BIZ1295,5,Hospitality,NSW,88986,11856,57238,40847,623,37912,12,4,0,1.4,0.714,0.133,0.426,16391,14831.0,3.908,0.512,0,Established,Good,Small,Medium
BIZ1296,9,Hospitality,ACT,53373,3099,41762,8941,538,26088,60,3,1,1.28,0.214,0.058,0.489,32821,5337.3,1.484,0.678,1,Mature,Fair,Small,Low
BIZ1297,2,Education,NSW,36725,1109,54817,31009,800,5399,48,2,0,4.34,0.566,0.03,0.147,23808,12241.67,2.562,0.113,0,Startup,Excellent,Small,Medium
BIZ1298,6,Retail,VIC,30000,2354,28083,13528,827,13407,24,0,0,2.74,0.482,0.078,0.447,14555,4285.71,2.193,0.117,0,Established,Excellent,Small,Low
BIZ1299,1,Education,ACT,107292,7246,158482,31528,820,41836,36,2,0,3.67,0.199,0.068,0.39,126954,53646.0,2.164,0.157,0,Startup,Excellent,Small,Low
BIZ1300,1,Retail,WA,33937,4731,51674,76144,735,5000,60,3,1,1.53,1.474,0.139,0.147,-24470,16968.5,11.798,0.743,1,Startup,Good,Small,High
BIZ1301,5,Retail,NSW,44637,8607,52132,45826,809,5009,12,1,0,1.4,0.879,0.193,0.112,6306,7439.5,21.425,0.209,0,Established,Excellent,Small,Medium
BIZ1302,5,Construction,QLD,84742,24820,36642,25119,594,9291,36,1,1,0.3,0.686,0.293,0.11,11523,14123.67,33.348,0.61,0,Established,Fair,Small,Medium
BIZ1303,7,Construction,WA,30000,4424,66543,18789,658,13451,36,2,1,4.63,0.282,0.147,0.448,47754,3750.0,4.107,0.341,0,Established,Good,Small,Low
BIZ1304,8,Professional Services,QLD,170294,8496,325367,41804,835,21787,36,3,0,2.76,0.128,0.05,0.128,283563,18921.56,4.872,0.093,0,Established,Excellent,Small,Low
